mesa-vdpau 20.1.8-1
mhwd 0.6.5-2
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db 0.6.5-4
mhwd-nvidia-340xx 340.108-1
mhwd-nvidia-390xx 390.132-1
mhwd-nvidia-418xx 418.113-1
mhwd-nvidia-430xx 430.64-1.0
mhwd-nvidia-435xx 435.21-1.0
mhwd-nvidia-440xx 440.100-1
mhwd-nvidia-450xx 450.80.02-1
mhwd-nvidia-455xx 455.28-2
minizip 1:1.2.11-4
mjpegtools 2.1.0-5
mkinitcpio 28-1.0
mkinitcpio-busybox 1.31.1-2
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20190618-2
mod_dnssd 0.6-8
modemmanager 1.14.2-1
mousetweaks 3.32.0-2
mpfr 4.1.0-1
mpg123 1.26.3-2
mtdev 1.1.6-1
mutter 3.36.6-1
mythes-de 20180514-2
mythes-en 20060306-5
nano 5.2-1
nautilus 3.36.3-1
nautilus-admin 1.1.9-1
nautilus-empty-file 1.2-1
ncdu 1.15.1-2
ncurses 6.2-1
ndctl 69-1
neon 0.31.2-1
nerd-fonts-noto-sans-mono 2.0.0-1
nerd-fonts-terminus 2.1.0-3
net-snmp 5.8-6
netctl 1.23-1
nettle 3.6-1
networkmanager 1.26.2-1
networkmanager-openconnect 1.2.6-2
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-2
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.1-1
nfsidmap 2.5.1-1
nm-connection-editor 1.18.0-1
nmap 7.80-3
noto-fonts 20190926-4
noto-fonts-cjk 20190409-2
noto-fonts-compat 20151217-1
npth 1.6-2
nspr 4.29-1
nss 3.57-1
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numlockx 1.2-5
openal 1.20.1-2
openconnect 1:8.10-1
opencore-amr 0.1.5-4
openexr 2.5.3-1
openjpeg2 2.3.1-2
openmpi 4.0.5-1
openresolv 3.11.0-1
openssh 8.3p1-4
openssl 1.1.1.h-1
openvpn 2.4.9-2
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.77-1
osinfo-db 20200529-1
ostree 2020.3-2
p11-kit 0.23.21-1
p7zip 16.02-6
pacman 5.2.2-2
pacman-mirrors 4.16.4-1
pacui 1.14-1
pam 1.4.0-3
pamac-cli 9.5.12-1
pamac-common 9.5.12-1
pamac-flatpak-plugin 9.5.12-1
pamac-gnome-integration 9.5.12-1
pamac-gtk 9.5.12-1
pamac-snap-plugin 9.5.12-1
pambase 20200721.1-2
pango 1:1.46.2-1
pangomm 2.42.1-2
papirus-icon-theme 20200901-1
papirus-maia-icon-theme 20200201-1
parted 3.3-2
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
pcsclite 1.9.0-1
pepper-flash 32.0.0.433-1
perl 5.32.0-3
